Cantidad_Total,Venta_Total,NumeroDocumento,NombreCliente,Municipio,Departamento,NombreProducto,NitCliente,Fuente,CodVendedor,NombreVendedor,Referencia,FechaDocumento,Presentacion,Clasificacion,Meses de la ultima compra,Vent_positivas,Dev_positivas
-100,-2780000,DEV0000037,Cliente 30,PEREIRA,RISARALDA,T.D.I. 80/20,550994009-6,Devoluci¢n,02,Vendedor 3,14397004,08/06/2021,KILOS,QUIMICOS,46,0,2780000
-60,-857100,DEV0000038,Cliente 7,BOGOTA,SANTA FE DE BOGOTA,PARAFINA FR 58-60,33215504-7,Devoluci¢n,08,Vendedor 1,14391001,08/06/2021,KILOS,Parafinas,46,0,857100
-42,-1333500,DEV0000039,Cliente 30,PEREIRA,RISARALDA,POLIOL POLIMERICO,550994009-6,Devoluci¢n,08,Vendedor 1,14397003,08/06/2021,KILOS,QUIMICOS,46,0,1333500
-100,-2780000,DEV0000039,Cliente 30,PEREIRA,RISARALDA,T.D.I. 80/20,550994009-6,Devoluci¢n,08,Vendedor 1,14397004,08/06/2021,KILOS,QUIMICOS,46,0,2780000
-84,-2938320,DEV0000040,Cliente 31,PEREIRA,RISARALDA,POLIOL ESTANDAR,313758823-6,Devoluci¢n,08,Vendedor 1,14397002,09/06/2021,KILOS,QUIMICOS,46,0,2938320
-210,-7339500,DEV0000041,Cliente 32,PASTO,NARI•O,POLIOL ESTANDAR,410526441-5,Devoluci¢n,08,Vendedor 1,14397002,09/06/2021,KILOS,QUIMICOS,46,0,7339500
-150,-3937500,DEV0000042,Cliente 33,Medell°n,Antioquia,T.D.I. 80/20,464007046-3,Devoluci¢n,08,Vendedor 1,14397004,11/06/2021,KILOS,QUIMICOS,46,0,3937500
-1,-124860,DEV0000043,Cliente 6,CUCUTA,NORTE DE SANTANDER,COLORANTE FLUORESCENTE,608235987-3,Devoluci¢n,08,Vendedor 1,14377009,21/06/2021,GRAMOS,Colorantes,45,0,124860
-0.4,-48386,DEV0000043,Cliente 6,CUCUTA,NORTE DE SANTANDER,COLORANTE A LA GRASA,608235987-3,Devoluci¢n,08,Vendedor 1,14377010,21/06/2021,GRAMOS,Colorantes,45,0,48386
-252,-7843500,DEV0000044,Cliente 34,CALI,VALLE DEL CAUCA,POLIOL POLIMERICO,508876893-3,Devoluci¢n,08,Vendedor 1,14397003,21/06/2021,KILOS,QUIMICOS,45,0,7843500
-10,-119025,DEV0000045,Cliente 18,LA ESTRELLA,Antioquia,PARAFINA MEDIA,531499871-2,Devoluci¢n,08,Vendedor 1,14361002,28/06/2021,KILOS,PARAFINAS,45,0,119025
-4,-57000,DEV0000046,Cliente 35,FLORIDA BLANCA,SANTANDER,T.D.I. 80/20,3539199309-1,Devoluci¢n,08,Vendedor 1,14397004,02/07/2021,KILOS,QUIMICOS,45,0,57000
-400,-5672000,DEV0000047,Cliente 36,SIBUNDOY,PUTUMAYO,PARAFINA SR 58/60,69286217-1,Devoluci¢n,08,Vendedor 1,14391002,07/07/2021,KILOS,PARAFINAS,45,0,5672000
-40,-2860000,DEV0000048,Cliente 37,PAIPA,BOYACA,SILICONA,8224370-0,Devoluci¢n,08,Vendedor 1,14397007,07/07/2021,KILOS,QUIMICOS,45,0,2860000
-40,-2860000,DEV0000049,Cliente 37,PAIPA,BOYACA,SILICONA,8224370-0,Devoluci¢n,08,Vendedor 1,14397007,08/07/2021,KILOS,QUIMICOS,45,0,2860000
-5,-529162.5,DEV0000050,Cliente 38,SONSON,Antioquia,COLORANTE FLUORESCENTE ROJO,483973448-7,Devoluci¢n,11,Vendedor 4,14377011,09/07/2021,GRAMOS,COLORANTES,45,0,529162.5
-1000,-12882500,DEV0000051,Cliente 39,PAIPA,BOYACA,PARAFINA LIVIANA,25296266-9,Devoluci¢n,08,Vendedor 1,14361001,12/07/2021,KILOS,PARAFINAS,45,0,12882500
-1000,-137882500,DEV0000051,Cliente 39,PAIPA,BOYACA,PARAFINA MEDIA,25296266-9,Devoluci¢n,08,Vendedor 1,14361002,12/07/2021,KILOS,PARAFINAS,45,0,137882500
-43,-1489627.5,DEV0000052,Cliente 40,GIRARDOTA,Antioquia,POLIOL ESTANDAR,518498029-4,Devoluci¢n,08,Vendedor 1,14397002,16/07/2021,KILOS,QUIMICOS,45,0,1489627.5
-3000,-37657500,DEV0000053,Cliente 26,CUCUTA,NORTE DE SANTANDER,PARAFINA MEDIA,23234964-6,Devoluci¢n,08,Vendedor 1,14361002,17/07/2021,KILOS,PARAFINAS,45,0,37657500
-2000,-55650000,DEV0000055,Cliente 41,BOGOTA,SANTA FE DE BOGOTA,T.D.I. 80/20,211174692-2,Devoluci¢n,08,Vendedor 1,14397004,23/07/2021,KILOS,QUIMICOS,44,0,55650000
-108,-1539000,DEV0000056,Cliente 42,BUCARAMANGA,SANTANDER,CLORURO DE METILENO,2101777426-0,Devoluci¢n,08,Vendedor 1,14397005,23/07/2021,KILOS,QUIMICOS,44,0,1539000
-2.32,-382109.8,DEV0000057,Cliente 43,ENTRERRIOS,Antioquia,COLORANTE FLUORESCENTE,314577283-9,Devoluci¢n,11,Vendedor 4,14377009,26/07/2021,GRAMOS,Colorantes,44,0,382109.8
-42,-1459500,DEV0000058,Cliente 44,CUCUTA,NORTE DE SANTANDER,POLIOL ESTANDAR,426498681-5,Devoluci¢n,08,Vendedor 1,14397002,26/07/2021,KILOS,QUIMICOS,44,0,1459500
-30,-496050,DEV0000059,Cliente 7,BOGOTA,SANTA FE DE BOGOTA,PARAFINA FR 56/58 EN SACO,33215504-7,Devoluci¢n,08,Vendedor 1,14391003,05/08/2021,KILOS,PARAFINAS,44,0,496050
-84,-2667000,DEV0000060,Cliente 45,MARINILLA,Antioquia,POLIOL POLIMERICO,667031656-5,Devoluci¢n,08,Vendedor 1,14397003,06/08/2021,KILOS,QUIMICOS,44,0,2667000
-84,-2961000,DEV0000061,Cliente 46,GIRARDOTA,Antioquia,POLIOL ESTANDAR,691484059-5,Devoluci¢n,08,Vendedor 1,14397002,06/08/2021,KILOS,QUIMICOS,44,0,2961000
-50,-13875000,DEV0000061,Cliente 46,GIRARDOTA,Antioquia,T.D.I. 80/20,691484059-5,Devoluci¢n,08,Vendedor 1,14397004,06/08/2021,KILOS,QUIMICOS,44,0,13875000
-108,-1539000,DEV0000062,Cliente 42,BUCARAMANGA,SANTANDER,CLORURO DE METILENO,2101777426-0,Devoluci¢n,08,Vendedor 1,14397005,17/08/2021,KILOS,QUIMICOS,44,0,1539000
-0.2,-214222.5,DEV0000063,Cliente 47,PEREIRA,RISARALDA,PAPEL CELOFAN CRISTAL,11199919-2,Devoluci¢n,08,Vendedor 1,14393001,23/08/2021,UNIDAD,CELOFAN,43,0,214222.5
-0.2,-214222.5,DEV0000063,Cliente 47,PEREIRA,RISARALDA,PAPEL CELOFAN CRISTAL,11199919-2,Devoluci¢n,08,Vendedor 1,14393001,23/08/2021,UNIDAD,CELOFAN,43,0,214222.5
-0.2,-214222.5,DEV0000063,Cliente 47,PEREIRA,RISARALDA,PAPEL CELOFAN CRISTAL,11199919-2,Devoluci¢n,08,Vendedor 1,14393001,23/08/2021,UNIDAD,CELOFAN,43,0,214222.5
-50,-1925000,DEV0000064,Cliente 31,PEREIRA,RISARALDA,MDI,313758823-6,Devoluci¢n,08,Vendedor 1,14397006,23/08/2021,KILOS,QUIMICOS,43,0,1925000
-54,-600750,DEV0000065,Cliente 48,SOGAMOSO,BOYACA,CLORURO DE METILENO,8522613-8,Devoluci¢n,08,Vendedor 1,14397005,23/08/2021,KILOS,QUIMICOS,43,0,600750
-10,-138225,DEV0000066,Cliente 49,Medell°n,Antioquia,PARAFINA MEDIA,28545059-0,Devoluci¢n,16,Vendedor 2,14361002,23/08/2021,KILOS,PARAFINAS,43,0,138225
-5,-67962.5,DEV0000067,Cliente 50,Medell°n,Antioquia,PARAFINA LIVIANA,73437641-5,Devoluci¢n,16,Vendedor 2,14361001,23/08/2021,KILOS,PARAFINAS,43,0,67962.5
-10,-1130175,DEV0000068,Cliente 51,SABANETA,Antioquia,VIBAR,338708399-1,Devoluci¢n,08,Vendedor 1,14394004,23/08/2021,KILOS,CERAS Y ADITIVOS,43,0,1130175
-5,-553575,DEV0000069,Cliente 52,SAN PEDRO,Antioquia,VIBAR,8122687-2,Devoluci¢n,16,Vendedor 2,14394004,23/08/2021,KILOS,CERAS Y ADITIVOS,43,0,553575
-108,-1495800,DEV0000070,Cliente 53,IBAGUE,TOLIMA,CLORURO DE METILENO,489250451-7,Devoluci¢n,08,Vendedor 1,14397005,31/08/2021,KILOS,QUIMICOS,43,0,1495800
-20,-331500,DEV0000071,Cliente 54,PEREIRA,RISARALDA,ACIDO ESTEARICO HPS P10,21937477-0,Devoluci¢n,08,Vendedor 1,14392002,31/08/2021,KILOS,CERAS Y ADITIVOS,43,0,331500
-1404,-19445400,DEV0000072,Cliente 55,ITAGUI,Antioquia,CLORURO DE METILENO,553041664-1,Devoluci¢n,08,Vendedor 1,14397005,31/08/2021,KILOS,QUIMICOS,43,0,19445400
-150,-4978500,DEV0000073,Cliente 56,GIRARDOT,CUNDINAMARCA,T.D.I. 80/20,78123191-1,Devoluci¢n,08,Vendedor 1,14397004,31/08/2021,KILOS,QUIMICOS,43,0,4978500
-33,-1081575,DEV0000074,Cliente 57,TUNJA,BOYACA,POLIOL ESTANDAR,22423496-0,Devoluci¢n,08,Vendedor 1,14397002,31/08/2021,KILOS,QUIMICOS,43,0,1081575
-800,-10588000,DEV0000075,Cliente 28,DOSQUEBRADAS,RISARALDA,PARAFINA SR 58/60,234452406-2,Devoluci¢n,08,Vendedor 1,14391002,31/08/2021,KILOS,PARAFINAS,43,0,10588000
-1000,-18697500,DEV0000076,Cliente 18,LA ESTRELLA,Antioquia,ACIDO ESTEARICO,531499871-2,Devoluci¢n,08,Vendedor 1,14392001,02/09/2021,KILOS,CERAS Y ADITIVOS,43,0,18697500
-42,-1492050,DEV0000077,Cliente 58,ITAGUI,Antioquia,POLIOL ESTANDAR,226051095-6,Devoluci¢n,08,Vendedor 1,14397002,03/09/2021,KILOS,QUIMICOS,43,0,1492050
-42,-1356600,DEV0000077,Cliente 58,ITAGUI,Antioquia,POLIOL POLIMERICO,226051095-6,Devoluci¢n,08,Vendedor 1,14397003,03/09/2021,KILOS,QUIMICOS,43,0,1356600
-100,-1514000,DEV0000078,Cliente 59,VILLAVICENCIO,META,PARAFINA MEDIA,3366326094-8,Devoluci¢n,08,Vendedor 1,14361002,03/09/2021,KILOS,PARAFINAS,43,0,1514000
-0.4,-424370,DEV0000079,Cliente 28,DOSQUEBRADAS,RISARALDA,PAPEL CELOFAN CRISTAL,234452406-2,Devoluci¢n,08,Vendedor 1,14393001,10/09/2021,UNIDAD,CELOFAN,43,0,424370
-54,-747900,DEV0000080,Cliente 53,IBAGUE,TOLIMA,CLORURO DE METILENO,489250451-7,Devoluci¢n,08,Vendedor 1,14397005,28/09/2021,KILOS,QUIMICOS,42,0,747900
-3.2,-527048,DEV0000081,Cliente 43,ENTRERRIOS,Antioquia,COLORANTE FLUORESCENTE,314577283-9,Devoluci¢n,11,Vendedor 4,14377009,13/09/2021,GRAMOS,Colorantes,43,0,527048
-0.6,-98821.5,DEV0000082,Cliente 43,ENTRERRIOS,Antioquia,COLORANTE FLUORESCENTE,314577283-9,Devoluci¢n,01,Vendedor 4,14377009,13/09/2021,GRAMOS,Colorantes,43,0,98821.5
-84,-2984100,DEV0000083,Cliente 60,APARTADO,Antioquia,POLIOL ESTANDAR,27169667-6,Devoluci¢n,08,Vendedor 1,14397002,14/09/2021,KILOS,QUIMICOS,43,0,2984100
-84,-2685900,DEV0000083,Cliente 60,APARTADO,Antioquia,POLIOL POLIMERICO,27169667-6,Devoluci¢n,08,Vendedor 1,14397003,14/09/2021,KILOS,QUIMICOS,43,0,2685900
-100,-3281750,DEV0000083,Cliente 60,APARTADO,Antioquia,T.D.I. 80/20,27169667-6,Devoluci¢n,08,Vendedor 1,14397004,14/09/2021,KILOS,QUIMICOS,43,0,3281750
-42,-1072050,DEV0000084,Cliente 60,APARTADO,Antioquia,POLIOL ESTANDAR,27169667-6,Devoluci¢n,08,Vendedor 1,14397002,14/09/2021,KILOS,QUIMICOS,43,0,1072050
-10,-185650,DEV0000085,Cliente 61,IBAGUE,TOLIMA,ACIDO ESTEARICO,73120177-3,Devoluci¢n,08,Vendedor 1,14392001,15/09/2021,KILOS,CERAS Y ADITIVOS,43,0,185650
-2300,-77510000,DEV0000086,Cliente 62,SOACHA,CUNDINAMARCA,T.D.I. 80/20,246773561-5,Devoluci¢n,08,Vendedor 1,14397004,21/09/2021,KILOS,QUIMICOS,42,0,77510000
-3,-682057.5,DEV0000087,Cliente 43,ENTRERRIOS,Antioquia,COLORANTE A LA GRASA,314577283-9,Devoluci¢n,01,Vendedor 4,14377010,28/09/2021,GRAMOS,Colorantes,42,0,682057.5
-2300,-67735000,DEV0000088,Cliente 62,SOACHA,CUNDINAMARCA,T.D.I. 80/20,246773561-5,Devoluci¢n,08,Vendedor 1,14397004,28/09/2021,KILOS,QUIMICOS,42,0,67735000
-10,-163475,DEV0000089,Cliente 63,ENVIGADO,Antioquia,PARAFINA LIVIANA,7036308702-8,Devoluci¢n,16,Vendedor 2,14361001,30/09/2021,KILOS,PARAFINAS,42,0,163475
-5,-73612.5,DEV0000089,Cliente 63,ENVIGADO,Antioquia,PARAFINA MEDIA,7036308702-8,Devoluci¢n,16,Vendedor 2,14361002,30/09/2021,KILOS,PARAFINAS,42,0,73612.5
-15,-223725,DEV0000090,Cliente 64,ENVIGADO,Antioquia,PARAFINA MEDIA,79784757-5,Devoluci¢n,16,Vendedor 2,14361002,30/09/2021,KILOS,PARAFINAS,42,0,223725
-30,-445950,DEV0000091,Cliente 50,Medell°n,Antioquia,PARAFINA LIVIANA,73437641-5,Devoluci¢n,16,Vendedor 2,14361001,30/09/2021,KILOS,PARAFINAS,42,0,445950
-42,-1342950,DEV0000092,Cliente 60,APARTADO,Antioquia,POLIOL POLIMERICO,27169667-6,Devoluci¢n,08,Vendedor 1,14397003,06/10/2021,KILOS,QUIMICOS,42,0,1342950
-5,-283400,DEV0000093,Cliente 65,BELLO,Antioquia,SILICONA,703413791-1,Devoluci¢n,08,Vendedor 1,14397007,11/10/2021,KILOS,QUIMICOS,42,0,283400
-5,-577000,DEV0000094,Cliente 66,AGUADAS,CALDAS,VIBAR,6434502-0,Devoluci¢n,08,Vendedor 1,14394004,12/10/2021,KILOS,CERAS Y ADITIVOS,42,0,577000
-400,-7555000,DEV0000095,Cliente 67,SABANETA,Antioquia,PARAFINA SR 58/60,329510083-4,Devoluci¢n,11,Vendedor 4,14391002,21/10/2021,KILOS,PARAFINAS,41,0,7555000
-0.2,-24117.5,DEV0000096,Cliente 68,NEIVA,HUILA,CHAPAS,6119469880-8,Devoluci¢n,08,Vendedor 1,14372002,22/10/2021,UNIDAD,Insumos de velas,41,0,24117.5
-0.4,-48235,DEV0000097,Cliente 69,RIONEGRO,SANTANDER,CHAPAS,323574686-3,Devoluci¢n,08,Vendedor 1,14372002,25/10/2021,UNIDAD,Insumos de velas,41,0,48235
-0.2,-222542,DEV0000098,Cliente 20,IPIALES,NARI•O,PAPEL CELOFAN CRISTAL,57858117-9,Devoluci¢n,08,Vendedor 1,14393001,30/10/2021,UNIDAD,CELOFAN,41,0,222542
-0.2,-222542,DEV0000098,Cliente 20,IPIALES,NARI•O,PAPEL CELOFAN CRISTAL,57858117-9,Devoluci¢n,08,Vendedor 1,14393001,30/10/2021,UNIDAD,CELOFAN,41,0,222542
-2599.8,-51177063,DEV0000099,Cliente 70,Medell°n,Antioquia,PARAFINA FR 56/58 EN SACO,729678316-7,Devoluci¢n,11,Vendedor 4,14391003,09/11/2021,KILOS,PARAFINAS,41,0,51177063
